index: 0
( -1.05133959119091780E+00 , 5.95693319644536885E-03 )
( 4.29028158357885159E-01 , -7.69486482049997700E-01 )
( 3.65598345625961635E-02 , 1.09457377243562992E+00 )
( 3.30452406554138656E-01 , 7.57770696706451252E-01 )
( 4.67525456690849828E-01 , 5.87580879504533748E-01 )
( 2.98402712975449416E-02 , 9.82080260678299455E-01 )
( 1.10041324863641465E+00 , 9.22814357134981944E-01 )
( 6.68965211806634708E-02 , -1.16642935022736127E+00 )
index: 34
( -3.63115830558438046E-01 , -1.11229857404594568E-01 )
( -2.98180966966647643E-01 , -5.44289045545188421E-01 )
( -1.52343197503669925E-01 , 7.08424238321996969E-01 )
( 4.26018031868962421E-01 , -3.78267690497882600E-02 )
( -1.12876243679788171E-01 , -2.94835840764624213E-01 )
( 1.81659867825752441E-01 , -3.91599281342561223E-01 )
( 1.87489014038576096E+00 , 1.02112691289329496E-01 )
( 7.96635494527570764E-01 , 7.38283708427054486E-01 )
( -1.08085035697398069E+00 , -5.07023723552186723E-01 )
( 1.16151577132677697E+00 , -3.13713428110857784E-01 )
( 3.15033178672834979E-01 , 4.73440081529524881E-01 )
( 5.18395617755677551E-01 , -3.55157462495306442E-01 )
index: 35
( -4.17659806561313629E-01 , -1.36516416612239988E+00 )
( 1.84710132356210838E-01 , 4.15420981795142696E-01 )
( 1.89129883361875556E-01 , -2.35457584342738196E-01 )
( -2.22887339032359799E-01 , -1.06690533520443109E+00 )
( 1.98655368364101748E-01 , 4.79129631919129106E-01 )
( -3.68883550732627741E-01 , -6.44467922511660296E-01 )
( -3.67191230692250348E-01 , 1.33345617508021874E+00 )
( 1.59240511676281456E-02 , -3.75956227002728238E-01 )
( 8.77119860251951100E-01 , 1.96388448301686613E-01 )
( -2.44431140933915408E-01 , 1.80505054306958179E+00 )
( 2.65542359219090085E-01 , -5.61182131778042104E-01 )
( -2.39956466907335270E-01 , -4.57739006145249705E-01 )
index: 36
( 1.73092669595487289E-02 , -1.16591081426100238E-01 )
( 4.56049376484417068E-01 , 2.53885759255590260E-01 )
( -4.33486797866754869E-01 , 1.80174288015742368E-01 )
( 2.04333571897199959E-02 , 1.63171597693475534E+00 )
( -1.40472348534823688E+00 , 4.52934953812254182E-01 )
( -3.97755277833073684E-01 , -4.69512281982752133E-01 )
( -7.33568179054801650E-01 , 6.84949960001478453E-01 )
( 5.34338368132230901E-01 , 6.87432275484502253E-01 )
( 2.25411441602852924E-01 , -2.27225866513591501E-01 )
( 6.21238232842284063E-02 , 2.89701881479632606E-01 )
( 6.02968031216837175E-01 , -4.97573743166631666E-01 )
( -4.01904640679089029E-02 , 1.36218332745085813E+00 )
index: 37
( -1.22890358852464909E-01 , 2.28496548206738426E-01 )
( -2.21706664406414206E-01 , 2.92004103643149271E-01 )
( 1.43753932120431682E+00 , -1.06262831476243047E+00 )
( -5.44865327364021601E-01 , -4.60993449200187588E-01 )
( -2.33747126107661518E-01 , 4.61861814192374154E-01 )
( -9.68882832112846065E-03 , 8.23222777182553656E-01 )
( 1.11659572962374498E+00 , -1.42942370039300937E-01 )
( -1.13673050997338509E+00 , -1.02877298204144219E+00 )
( 6.86070170920890621E-01 , -7.69355253854950516E-01 )
( 6.51584392748953301E-01 , -3.76186355547387552E-01 )
( -8.04691011975927850E-01 , -1.03746267723509811E-01 )
( 2.27802245860285496E-01 , 6.48793033235924854E-01 )
index: 38
( 4.87707577156678562E-01 , 7.59681600872187057E-01 )
( -4.49638032254732825E-02 , -1.49938286596793935E+00 )
( -6.33612926557838296E-01 , 3.60002558192108135E-01 )
